Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;5;27;193;87.87;19;81;5.52;9.72;23.17;8;9.72;0.96;22.81;828;5;81;190;822;827;1;200;5;948;24.01;2.28;27;46;4;0.49
Parlament;2017;5;28;60;89.98;22;162;2.63;20.28;7.51;20;10.51;2.5;35.04;796;3;84;280;787;790;6;136;5;888;17.02;2.75;28;21;2;0.25
Parlament;2017;5;29;63;88.54;13;119;4.74;15.26;8.08;16;12.18;2.05;31.92;778;2;95;249;772;774;4;179;5;881;22.95;1.67;29;37;1;0.13
Parlament;2017;6;1;62;83.84;31;168;2.7;22.64;8.36;6;9.57;0.81;36.25;736;6;71;269;730;736;0;101;6;885;13.61;4.18;1;20;2;0.27
Parlament;2017;6;2;91;77.83;33;137;3.3;15.07;10.01;21;7.81;2.31;38.28;904;5;71;348;898;903;1;159;6;1168;17.49;3.63;2;30;8;0.89
Parlament;2017;6;3;103;78.62;67;224;3.03;19.39;8.92;11;8.83;0.95;36.45;1148;7;102;421;1135;1142;6;159;6;1469;13.77;5.8;3;35;13;1.15
Parlament;2017;6;4;71;73.31;45;112;4.3;17.2;10.91;7;6.91;1.08;37.48;651;0;45;244;648;648;3;94;6;888;14.44;6.91;4;28;2;0.31
Parlament;2017;6;5;72;79.87;31;152;3.82;17.57;8.32;8;11.79;0.92;32.37;860;5;102;280;851;856;4;167;6;1083;19.31;3.58;5;33;6;0.71
Parlament;2017;6;6;40;82.01;32;152;2.15;16.34;4.3;19;10.54;2.04;44.95;925;5;98;418;917;922;3;135;6;1134;14.52;3.44;6;20;3;0.33
Parlament;2017;6;8;227;82.4;32;189;4.26;14.12;16.95;18;9.11;1.34;25.69;1333;6;122;344;1321;1327;6;325;6;1625;24.27;2.39;8;57;7;0.53
Parlament;2017;6;9;64;81.29;31;132;2.74;18.08;8.77;7;11.23;0.96;33.84;726;4;82;247;721;725;1;135;6;898;18.49;4.25;9;20;3;0.42
