Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;En Blanc;% En Blanc;ERC;% ERC;ICV;% ICV;PACMA;% PACMA;Pirata;% Pirata;PP;% PP;PSC;% PSC;PxC;% PxC;UPYD;% UPYD;Altres;% Altres
6;16;1136;647;18;5;624;56.95%;111;17.16%;13;2.01%;17;2.63%;63;9.74%;4;0.62%;6;0.93%;172;26.58%;210;32.46%;26;4.02%;2;0.31%;0;0.00%
6;18;497;301;6;2;293;60.56%;24;7.97%;5;1.66%;1;0.33%;33;10.96%;1;0.33%;0;0.00%;71;23.59%;142;47.18%;11;3.65%;3;1.00%;2;0.66%
6;19;448;303;9;0;294;67.63%;36;11.88%;2;0.66%;9;2.97%;27;8.91%;1;0.33%;1;0.33%;74;24.42%;127;41.91%;16;5.28%;1;0.33%;0;0.00%
6;20;450;275;2;2;271;61.11%;32;11.64%;0;0.00%;3;1.09%;27;9.82%;2;0.73%;2;0.73%;61;22.18%;123;44.73%;14;5.09%;2;0.73%;5;1.82%
6;21;694;411;9;6;396;59.22%;47;11.44%;0;0.00%;3;0.73%;46;11.19%;1;0.24%;3;0.73%;105;25.55%;154;37.47%;31;7.54%;4;0.97%;2;0.49%
6;23;947;617;12;10;595;65.15%;92;14.91%;5;0.81%;12;1.94%;45;7.29%;5;0.81%;2;0.32%;178;28.85%;220;35.66%;24;3.89%;8;1.30%;4;0.65%
6;24;1780;1186;30;14;1142;66.63%;160;13.49%;12;1.01%;20;1.69%;117;9.87%;16;1.35%;6;0.51%;297;25.04%;405;34.15%;84;7.08%;19;1.60%;6;0.51%
6;25;1416;910;17;5;888;64.27%;133;14.62%;7;0.77%;22;2.42%;92;10.11%;12;1.32%;3;0.33%;200;21.98%;361;39.67%;40;4.40%;11;1.21%;7;0.77%
6;26;1214;779;23;11;745;64.17%;115;14.76%;13;1.67%;15;1.93%;76;9.76%;4;0.51%;4;0.51%;183;23.49%;269;34.53%;55;7.06%;8;1.03%;3;0.39%
6;27;972;598;13;6;579;61.52%;72;12.04%;6;1.00%;15;2.51%;56;9.36%;3;0.50%;3;0.50%;144;24.08%;245;40.97%;24;4.01%;9;1.51%;2;0.33%
6;28;1181;824;12;7;805;69.77%;101;12.26%;11;1.33%;24;2.91%;95;11.53%;2;0.24%;3;0.36%;218;26.46%;300;36.41%;33;4.00%;13;1.58%;5;0.61%
6;29;774;485;13;6;466;62.66%;50;10.31%;6;1.24%;8;1.65%;56;11.55%;3;0.62%;2;0.41%;132;27.22%;177;36.49%;24;4.95%;6;1.24%;2;0.41%
6;30;544;341;8;5;328;62.68%;57;16.72%;5;1.47%;5;1.47%;44;12.90%;1;0.29%;0;0.00%;98;28.74%;94;27.57%;20;5.87%;2;0.59%;2;0.59%
6;31;773;455;3;9;443;58.86%;49;10.77%;6;1.32%;24;5.27%;59;12.97%;5;1.10%;4;0.88%;105;23.08%;157;34.51%;20;4.40%;8;1.76%;6;1.32%
6;32;535;331;5;0;326;61.87%;55;16.62%;2;0.60%;5;1.51%;34;10.27%;2;0.60%;2;0.60%;87;26.28%;101;30.51%;27;8.16%;10;3.02%;1;0.30%
6;33;974;693;15;11;667;71.15%;136;19.62%;19;2.74%;27;3.90%;56;8.08%;8;1.15%;5;0.72%;147;21.21%;198;28.57%;36;5.19%;27;3.90%;8;1.15%
