Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
5;18;983;490;15;2;473;49.85%;34;6.97%;44;9.02%;48;9.84%;51;10.45%;68;13.93%;14;2.87%;14;2.87%;29;5.94%;129;26.43%;15;3.07%;2;0.41%;25;5.12%
5;19;979;404;13;1;390;41.27%;73;18.11%;38;9.43%;94;23.33%;51;12.66%;21;5.21%;11;2.73%;7;1.74%;24;5.96%;42;10.42%;15;3.72%;1;0.25%;13;3.23%
5;20;1171;531;7;9;515;45.35%;81;15.52%;40;7.66%;163;31.23%;66;12.64%;31;5.94%;5;0.96%;5;0.96%;25;4.79%;69;13.22%;6;1.15%;0;0.00%;24;4.60%
5;21;1397;690;12;6;672;49.39%;111;16.23%;67;9.80%;117;17.11%;84;12.28%;59;8.63%;11;1.61%;7;1.02%;41;5.99%;104;15.20%;18;2.63%;9;1.32%;44;6.43%
5;22;530;248;4;3;241;46.79%;27;11.02%;37;15.10%;40;16.33%;34;13.88%;21;8.57%;1;0.41%;1;0.41%;13;5.31%;53;21.63%;3;1.22%;0;0.00%;11;4.49%
5;23;1243;655;8;2;645;52.70%;186;28.48%;28;4.29%;207;31.70%;72;11.03%;34;5.21%;6;0.92%;8;1.23%;29;4.44%;47;7.20%;6;0.92%;1;0.15%;21;3.22%
5;24;1156;566;10;2;554;48.96%;87;15.43%;52;9.22%;115;20.39%;72;12.77%;51;9.04%;3;0.53%;15;2.66%;44;7.80%;83;14.72%;8;1.42%;2;0.35%;22;3.90%
5;25;865;407;11;2;394;47.05%;60;14.81%;42;10.37%;60;14.81%;46;11.36%;29;7.16%;12;2.96%;7;1.73%;18;4.44%;90;22.22%;15;3.70%;2;0.49%;13;3.21%
5;26;1014;579;10;2;567;57.10%;134;23.22%;35;6.07%;158;27.38%;62;10.75%;49;8.49%;13;2.25%;7;1.21%;21;3.64%;66;11.44%;0;0.00%;4;0.69%;18;3.12%
5;27;939;475;12;3;460;50.59%;88;18.64%;35;7.42%;123;26.06%;65;13.77%;37;7.84%;9;1.91%;5;1.06%;22;4.66%;51;10.81%;3;0.64%;1;0.21%;21;4.45%
5;28;887;404;4;4;396;45.55%;29;7.25%;47;11.75%;60;15.00%;63;15.75%;28;7.00%;6;1.50%;3;0.75%;28;7.00%;96;24.00%;6;1.50%;1;0.25%;29;7.25%
5;29;880;429;16;1;412;48.75%;34;7.94%;46;10.75%;79;18.46%;62;14.49%;32;7.48%;5;1.17%;5;1.17%;25;5.84%;90;21.03%;13;3.04%;0;0.00%;21;4.91%
6;1;863;411;12;1;398;47.62%;28;6.83%;40;9.76%;56;13.66%;31;7.56%;31;7.56%;10;2.44%;10;2.44%;22;5.37%;139;33.90%;5;1.22%;1;0.24%;25;6.10%
6;2;1170;490;7;1;482;41.88%;75;15.34%;54;11.04%;71;14.52%;59;12.07%;36;7.36%;8;1.64%;6;1.23%;37;7.57%;116;23.72%;3;0.61%;0;0.00%;17;3.48%
6;3;1462;620;6;6;608;42.41%;58;9.45%;54;8.79%;70;11.40%;89;14.50%;65;10.59%;15;2.44%;6;0.98%;48;7.82%;161;26.22%;17;2.77%;3;0.49%;22;3.58%
6;4;887;360;5;6;349;40.59%;34;9.60%;35;9.89%;43;12.15%;46;12.99%;54;15.25%;7;1.98%;0;0.00%;14;3.95%;93;26.27%;5;1.41%;0;0.00%;18;5.08%
6;5;1083;472;10;7;455;43.58%;30;6.45%;51;10.97%;68;14.62%;69;14.84%;38;8.17%;9;1.94%;8;1.72%;43;9.25%;92;19.78%;12;2.58%;2;0.43%;33;7.10%
6;6;1123;445;5;4;436;39.63%;22;4.99%;78;17.69%;57;12.93%;52;11.79%;38;8.62%;11;2.49%;10;2.27%;30;6.80%;103;23.36%;12;2.72%;0;0.00%;23;5.22%
6;8;1630;778;13;2;763;47.73%;120;15.46%;65;8.38%;189;24.36%;95;12.24%;53;6.83%;8;1.03%;13;1.68%;52;6.70%;127;16.37%;11;1.42%;2;0.26%;28;3.61%
6;9;875;386;2;4;380;44.11%;46;12.04%;33;8.64%;56;14.66%;59;15.45%;31;8.12%;9;2.36%;3;0.79%;33;8.64%;94;24.61%;4;1.05%;0;0.00%;12;3.14%
6;10;1537;681;14;10;657;44.31%;48;7.15%;78;11.62%;105;15.65%;80;11.92%;65;9.69%;5;0.75%;13;1.94%;52;7.75%;167;24.89%;12;1.79%;0;0.00%;32;4.77%
6;11;1291;455;6;4;445;35.24%;25;5.54%;51;11.31%;48;10.64%;45;9.98%;50;11.09%;10;2.22%;13;2.88%;42;9.31%;124;27.49%;11;2.44%;0;0.00%;26;5.76%
6;12;941;407;6;1;400;43.25%;34;8.37%;37;9.11%;45;11.08%;61;15.02%;42;10.34%;5;1.23%;7;1.72%;33;8.13%;115;28.33%;10;2.46%;0;0.00%;11;2.71%
6;13;666;334;8;4;322;50.15%;5;1.52%;21;6.36%;15;4.55%;49;14.85%;46;13.94%;12;3.64%;6;1.82%;23;6.97%;118;35.76%;6;1.82%;0;0.00%;21;6.36%
6;14;704;271;5;6;260;38.49%;15;5.66%;22;8.30%;21;7.92%;35;13.21%;34;12.83%;1;0.38%;0;0.00%;15;5.66%;89;33.58%;10;3.77%;1;0.38%;17;6.42%
6;16;1152;436;5;0;431;37.85%;68;15.60%;40;9.17%;54;12.39%;51;11.70%;46;10.55%;7;1.61%;2;0.46%;48;11.01%;82;18.81%;7;1.61%;1;0.23%;25;5.73%
